0,306,16,209,36,207,151,281,123,309,128,211,228,209,43
306,0,116,276,275,223,229,245,259,222,23,73,262,20,136
16,116,0,75,158,175,76,51,229,261,257,187,240,67,158
209,276,75,0,210,19,77,254,99,303,76,67,307,306,174
36,275,158,210,0,107,234,85,110,98,20,206,105,188,125
207,223,175,19,107,0,283,291,298,253,267,309,111,161,270
151,229,76,77,234,283,0,53,34,248,47,79,234,164,137
281,245,51,254,85,291,53,0,145,41,107,90,243,154,15
123,259,229,99,110,298,34,145,0,283,307,75,297,183,223
309,222,261,303,98,253,248,41,283,0,305,40,134,97,198
128,23,257,76,20,267,47,107,307,305,0,146,24,56,132
211,73,187,67,206,309,79,90,75,40,146,0,194,98,250
228,262,240,307,105,111,234,243,297,134,24,194,0,273,195
209,20,67,306,188,161,164,154,183,97,56,98,273,0,142
43,136,158,174,125,270,137,15,223,198,132,250,195,142,0
